Dam: Bellair Dam , FSC: 4.241 , Dam level: 3.321
Dam: Floriskraal Dam , FSC: 48.265999999999998 , Dam level: 3.826
Dam: Miertjieskraal Dam , FSC: 1.517 , Dam level: 
Dam: Calitzdorp Dam , FSC: 4.817 , Dam level: 4.231
Dam: Leeugamka Dam , FSC: 13.584 , Dam level: 2.266
Dam: Oukloof Dam , FSC: 4.19 , Dam level: 2.246
Dam: Gamka Dam , FSC: 1.82 , Dam level: 0.89
Dam: Gamkapoort Dam , FSC: 36.234000000000002 , Dam level: 4.36
Dam: Kammanassie Dam , FSC: 34.353999999999999 , Dam level: 27.436
Dam: Stompdrift Dam , FSC: 49.579000000000001 , Dam level: 26.704000000000001
Dam: Hartebeestkuil Dam , FSC: 7.133 , Dam level: 4.905
Dam: Klipheuwel Dam , FSC: 4.45 , Dam level: 3.783
Dam: Ernest Robertson Dam  , FSC: 0.415 , Dam level: 0.387
Dam: Wolwedans Dam , FSC: 24.626000000000001 , Dam level: 23.504999999999999
Dam: Garden Route Dam , FSC: 9.978999999999999 , Dam level: 9.038
Dam: Roodefontein Dam , FSC: 1.99 , Dam level: 1.902
Dam: Kromrivier Dam , FSC: 35.24 , Dam level: 30.285
Dam: Impofu Dam , FSC: 105.76 , Dam level: 98.972999999999999
Dam: Beervlei Dam , FSC: 85.778999999999996 , Dam level: 1.329
Dam: Kouga Dam , FSC: 125.91 , Dam level: 102.51
Dam: Haarlem Dam , FSC: 4.603 , Dam level: 3.342
Dam: Loerie Dam , FSC: 3.026 , Dam level: 0.668
Dam: Groendal Dam , FSC: 11.638 , Dam level: 10.491
Dam: Nqweba (V. Rynevelds)  , FSC: 44.718000000000004 , Dam level: 18.954999999999998
Dam: Darlington Dam , FSC: 180.83 , Dam level: 36.057000000000002
Dam: Grassridge Dam , FSC: 46.19 , Dam level: 23.413
Dam: Kommandodrift Dam , FSC: 55.87 , Dam level: 35.954000000000001
Dam: Elandsdrift Dam , FSC: 3.546 , Dam level: 0.459
Dam: De Mistkraal Dam, FSC: 2.053 , Dam level: 1.824
Dam: Katrivier Dam , FSC: 24.681999999999999 , Dam level: 23.207000000000001
Dam: Sandile Dam , FSC: 29.655999999999999 , Dam level: 25.172999999999998
Dam: Binfield Dam , FSC: 36.848999999999997 , Dam level: 35.601999999999997
Dam: Laing Dam , FSC: 18.904 , Dam level: 18.399000000000001
Dam: Rooikrantz Dam , FSC: 4.799 , Dam level: 4.602
Dam: Bridle Drift Dam, FSC: 97.923000000000002 , Dam level: 83.456000000000003
Dam: Nahoon Dam , FSC: 19.247 , Dam level: 13.074999999999999
Dam: Macubeni Dam, FSC: 3.373 , Dam level: 3.307
Dam: Xonxa Dam , FSC: 115.86 , Dam level: 115.86
Dam: Lubisi Dam , FSC: 158 , Dam level: 105.1
Dam: Doornrivier Dam , FSC: 17.099 , Dam level: 9.83
Dam: Boesmanskrantz Dam, FSC: 4.818 , Dam level: 4.169
Dam: Waterdown Dam , FSC: 37.441000000000003 , Dam level: 33.746000000000002
Dam: Oxkraal Dam , FSC: 14.829000000000001 , Dam level: 7.231
Dam: Ncora Dam , FSC: 147.28 , Dam level: 107.52
Dam: Tsojana Dam, FSC: 12.272 , Dam level: 12.233000000000001
Dam: Gubu Dam , FSC: 8.504 , Dam level: 8.119999999999999
Dam: Wriggleswade Dam , FSC: 91.471000000000004 , Dam level: 90.274000000000001
Dam: Gcuwa Dam , FSC: 0.601 , Dam level: 0.588
Dam: Xilinxa Dam , FSC: 13.823 , Dam level: 3.765
Dam: Toleni Dam, FSC: 0.177 , Dam level: 
Dam: Mabeleni Dam , FSC: 2.099 , Dam level: 2.078
Dam: Corana Dam , FSC: 0.754 , Dam level: 0.22
Dam: Belfort Dam, FSC: 0.413 , Dam level: 0.405
Dam: Ntenetyana Dam, FSC: 1.512 , Dam level: 0.61
Dam: Nqadu Dam, FSC: 1.274 , Dam level: 0.627
Dam: Mlanga Dam, FSC: 1.597 , Dam level: 0.181
Dam: Midmar Dam , FSC: 235.42 , Dam level: 107.88
Dam: Nagle Dam , FSC: 23.236000000000001 , Dam level: 17.294
Dam: Albert Falls Dam, FSC: 288.14 , Dam level: 104.92
Dam: Inanda Dam , FSC: 237.4 , Dam level: 186.14
Dam: Hazelmere Dam , FSC: 17.675999999999998 , Dam level: 5.874
Dam: Spioenkop Dam , FSC: 270.64 , Dam level: 171.72
Dam: Driel Barrage , FSC: 8.694000000000001 , Dam level: 8.291
Dam: Woodstock Dam , FSC: 373.25 , Dam level: 287.63
Dam: Craigie Burn Dam, FSC: 22.466000000000001 , Dam level: 14.663
Dam: Mearns Dam , FSC: 5.163 , Dam level: 3.238
Dam: Spring Grove Dam, FSC: 139.19999999999999 , Dam level: 118.04
Dam: Ntshingwayo Dam , FSC: 194.56 , Dam level: 108.05
Dam: Zaaihoek Dam , FSC: 184.63 , Dam level: 107.94
Dam: Wagendrift Dam , FSC: 55.9 , Dam level: 56.11
Dam: Goedertrouw Dam , FSC: 301.26 , Dam level: 72.899000000000001
Dam: Klipfontein Dam , FSC: 18.085999999999999 , Dam level: 3.426
Dam: Hluhluwe Dam , FSC: 25.893000000000001 , Dam level: 4.596
Dam: Pongolapoort Dam , FSC: 2267.0700000000002 , Dam level: 1046.9100000000001
Dam: Jericho Dam , FSC: 59.273000000000003 , Dam level: 44.636000000000003
Dam: Westoe Dam , FSC: 60.094999999999999 , Dam level: 29.045999999999999
Dam: Morgenstond Dam , FSC: 99.988 , Dam level: 52.558999999999997
Dam: Heyshope Dam , FSC: 444.94 , Dam level: 391.2
